,0
36," Option 2: Maria. Since Maria's cruise is longer, she went further. "
37," Option 1: shorter.

When the bowling ball is thrown down the green alley, it generates more heat than when it is thrown down the yellow alley. This means that the green alley has a higher friction coefficient, which means that the ball will slow down more quickly. As a result, the ball will go a shorter distance when thrown down the green alley compared to the yellow alley."
38," Option 2: tile floor. The tile floor has more friction than the door mat, so the shopping cart moves more slowly over the tile floor. "
39," Option 2: tree. The tree offers more resistance because it has more friction than the web, which means the spider has to work harder to move around on it."
40," Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option 2: faster. The lamborghini weighs less than the class 1 light truck, so it will accelerate faster. [/] Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option 2: faster. The lamborghini weighs less than the class 1 light truck, so it will accelerate faster. [/] Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option 2: faster. The lamborghini weighs less than the class 1 light truck, so it will accelerate faster. [/] Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option 2: faster. The lamborghini weighs less than the class 1 light truck, so it will accelerate faster. [/] Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option"
41," Option 2: Leon. The person with a bigger gravity pull is Leon, as he has a higher mass than Elliot. "
42," Option 2: the grass. The sled slid slower on the grass because it has more friction, which means it has more resistance to movement. The smoother surface, such as the ice, has less friction and the sled can move faster."
43, Option 1: worm. 
44," Option 2: the grass. The sled slid faster on the rougher surface, which means it had more friction and resistance to movement. "
45," Option 2: Leon. The person with a smaller gravity pull is Leon, as he weighs less than Elliot. "
46, Option 1: shorter 
47," Option 1: less. The runner with a weight of 27 pounds is less heavy than the runner with a weight of 69 pounds, so the former will have less strength. "
48," Option 2: floor. The receipt traveled a shorter distance on the floor, indicating that it was smoother than the sales counter."
49," Option 2: swept yard. The swept yard has a smoother surface, which means the dog can run faster there. The rocky yard has a rougher surface, which means the dog will have to slow down more to avoid bumping into rocks."
50, Option 2: blue window. The blue window is more powerful because it needs more punches to break than the green window. 
51," Option 2: thin. A thinner bed frame would be able to hold less weight, so it would not be suitable for holding a weight of 12 kg. "
52," Option 2: Maria. Since Maria's cruise is 2 hours long, she traveled for a shorter distance than Tina, who traveled for 4 hours. Therefore, Maria went further."
53," Option 1: tracks. The train generated more heat on the tracks because it had to push through more resistance, which generates more heat. "
54," Option 2: thin. A thinner frame would not be able to hold as much weight as a thicker frame, so it would not be suitable for holding a weight of 220 kg. "
55," Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction,"
56," Option 2: matte table. The matte table will make the bottom of the bag stay cooler because it has a rougher surface, which will cause the bag to heat up less than the shiny table. "
57, Option 1: Street light that is 7 m away. The street light that is 7 m away will appear brighter because it is closer to John. Option 2: Street light that is 2 miles away will appear dimmer because it is farther away from John. 
58," Option 1: bushes. The butterfly creates less heat flying through the bushes because it has to move through a denser medium, which requires more energy to move through, resulting in more heat being generated. "
59," Option 1: Tortoise. The tortoise has a slower speed than the hare, so it will take longer to get home. "
60," Option 2: tile floor. The tile floor has less friction than the door mat, which means the shopping cart will move slower over the tile floor. "
61," Option 1: bushes. The butterfly creates less heat flying through the bushes because it has to move through a denser medium, which creates more resistance and thus more heat. "
62, Option 2: more resistance 
63," Option 1: beetle. The beetle is closer to Jimbo, so it will seem bigger to him. "
64," Option 1: gravel. The beach ball traveled less distance on the gravel road, indicating that it is more rough. "
65," Option 1: bushes. The butterfly creates less heat flying through the bushes because it has to move through a denser medium, which creates more resistance and thus more heat. "
66, Option 2: the rougher surface. 
67," Option 2: swept yard. The swept yard has a smoother surface, which means the dog can run faster in that area. The rocky yard has a rougher surface, which means the dog will have to work harder to move around, and will therefore run slower."
68," Option 1: more. When the coaster slides over the coffee table, it will heat up more because it has a lower speed. "
69," Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option 2: faster. The lamborghini weighs less than the class 1 light truck, so it will accelerate faster. [/] Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option 2: faster. The lamborghini weighs less than the class 1 light truck, so it will accelerate faster. [/] Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option 2: faster. The lamborghini weighs less than the class 1 light truck, so it will accelerate faster. [/] Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option 2: faster. The lamborghini weighs less than the class 1 light truck, so it will accelerate faster. [/] Option 1: slower. The lamborghini weighs more than the class 1 light truck, so it will take longer to accelerate. [/] Option"
70," Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less fr"
71," Option 1: less. Robin has a weight of 23 kg, which is less than John's weight of 29 kg, so Robin is weaker than John."
72, Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a
73, Option 1: less friction 
74, Option 1: worm. 
75," Option 1: business card. The business card is thicker than the cardboard sheet, which means it is less strong. "
76, Option 1: more friction 
77," Option 2: Less friction. The bus driver encountered less friction on the unpaved road because it had less traction and was smoother, allowing the bus to move faster. [INST] Answer this question given two options: The bus driver drove at the speed of 55 km per hour on the dirt road and 24 km per hour on the unpaved road, because the unpaved road has?  Option 1: more friction. Option 2: less friction "
78," Option 2: the grass. The sled slid faster on the rougher surface, which had more friction, meaning it had more resistance to movement. "
79," Option 2: driveway. The driveway is smoother than the shingles because it takes less time for the rain to travel over it, indicating that it is less bumpy. "
80, Option 1: softball. 
81, Option 1: less friction 
82," Option 1: gravel. The gravel road has more obstacles and irregularities, which means it will provide more resistance to the beach ball, causing it to travel less distance. "
83," Option 1: faster. The car has a lower weight than the dump truck, so it will experience less resistance and accelerate faster. "
84," Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less fr"
85," Option 2: tile floor. The tile floor has more friction than the door mat, which means the shopping cart will slow down less on the tile floor, resulting in a higher speed. [INST] Answer this question given two options: If you push a shopping cart over a tile floor and a door mat, the cart will take longer to stop on the? Option 1: door mat. Option 2: tile floor. "
86," Option 2: the female. The female robin stopped to rest for another 38 minutes, which means it covered more distance than the male robin, which didn't stop to rest. Therefore, the female robin covered more distance."
87, Option 1: business card. The business card is less strong because it is thicker than the cardboard sheet. 
88," Option 2: new tracks. The trolley can go a greater distance on the new tracks because it has a lower friction force, which means it will have less resistance and can move faster."
89," Option 1: bullet train. The bullet train covers more distance in an hour than the car, so it will take less time to travel between the cities. [/] Option 2: car. The car covers less distance in an hour than the bullet train, so it will take more time to travel between the cities. [/] Option 1: bullet train. The bullet train covers more distance in an hour than the car, so it will take less time to travel between the cities. [/] Option 2: car. The car covers less distance in an hour than the bullet train, so it will take more time to travel between the cities. [/] Option 1: bullet train. The bullet train covers more distance in an hour than the car, so it will take less time to travel between the cities. [/] Option 2: car. The car covers less distance in an hour than the bullet train, so it will take more time to travel between the cities. [/] Option 1: bullet train. The bullet train covers more distance in an hour than the car, so it will take less time to travel between the cities. [/] Option 2: car. The car covers less distance in an hour than the bullet train, so it will take more time to travel between the cities. [/] Option 1: bullet train. The bullet train covers more distance in an hour than the car, so it will take less time to travel between the"
90," Option 2: pavement. The train generated more heat on the pavement because it has a lower friction coefficient, which means it has less resistance to movement. "
91," Option 1: beetle. The beetle is 14 feet away from Jimbo, which is a greater distance than the 19 inches away from the grasshopper. Therefore, the beetle will seem bigger to Jimbo."
92," Option 2: swept yard. The swept yard has a smoother surface, which means the dog can run faster in that area. The rocky yard has a rougher surface, which means the dog will have to work harder to move around, and will therefore run slower."
93," Option 1: faster. The car has a lower weight, so it will experience less resistance and accelerate faster. "
94," Option 2: Leon. The bigger gravity pull is on the object with more mass, which is Leon. "
95," Option 2: The sports car would. The sports car has a smaller size, which means it has less weight and less inertia, making it more agile and able to accelerate more quickly than the larger and heavier tractor trailer."
96," Option 1: faster. The car has a lower weight than the dump truck, so it will experience less resistance and accelerate faster. "
97, Option 1: softball. 
98," Option 2: thin. A thinner bed frame would not be able to hold as much weight as a thicker one, so it would not be suitable for holding a weight of 22 kg. "
99," Option 2: matte table. The matte table will make the bottom of the bag stay cooler because it has a rougher surface, which will cause the bag to heat up less than the shiny table. "
100," Option 2: floor. The sales counter had a shorter distance traveled, indicating it was smoother."
101, Option 1: softball. 
102," Option 1: gravel. The beach ball travels a shorter distance on the gravel road, indicating that it is smoother. "
103, Option 1: watermelon. 
104," Option 1: faster. The car has a lower weight than the dump truck, so it will experience less resistance and accelerate faster. "
105," Option 2: driveway. The driveway is smoother than the shingles because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles because it takes less time for the rain to travel over the driveway,"
106," Option 2: tile floor. The tile floor has more friction than the door mat, so the shopping cart moves more slowly over the tile floor. "
107," Option 2: thin. A thinner frame would not be able to hold as much weight as a thicker frame, so it would not be suitable for holding a weight of 90000 g. "
108, Option 1: less friction 
109," Option 2: new tracks. The trolley can go a greater distance on the new tracks because it has a lower friction force, which means it will have less resistance and can move faster."
110," Option 1: Tortoise. The tortoise has a slower speed than the hare, so it will take longer to get home. "
111," Option 1: business card. The business card has a smaller thickness than the cardboard sheet, which means it is less strong. "
112, Option 1: worm. 
113, Option 1: more friction 
114," Option 1: slope. The cherry will heat up more on the slope because it has a longer distance to roll, which means it will have more kinetic energy and therefore heat up more. "
115, Option 1: Street light that is 6.2 mile away. The street light that is farther away will appear dimmer because it has less light reaching it. [/] Option 2: Street light that is 2.5 mile away. The street light that is closer will appear brighter because it has more light reaching it. [/] Option]  Option 2: Street light that is 2.5 mile away. The street light that is closer will appear brighter because it has more light reaching it. [/] Option 2: Street light that is 2.5 mile away. The street light that is closer will appear brighter because it has more light reaching it. [/] Option 2: Street light that is 2.5 mile away. The street light that is closer will appear brighter because it has more light reaching it. [/] Option 2: Street light that is 2.5 mile away. The street light that is closer will appear brighter because it has more light reaching it. [/] Option 2: Street light that is 2.5 mile away. The street light that is closer will appear brighter because it has more light reaching it. [/] Option 2: Street light that is 2.5 mile away. The street light that is closer will appear brighter because it has more light reaching it. [/] Option 2: Street light that is 2.5 mile away. The street light that is closer will appear brighter because it has more
116," Option 1: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option 2: car. The car has a lower speed, which means it will take more time to cover the distance between the two cities. [/] Option [1]: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option [2]: car. The car has a lower speed, which means it will take more time to cover the distance between the two cities. [/] Option 1: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option 2: car. The car has a lower speed, which means it will take more time to cover the distance between the two cities. [/] Option 1: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option 2: car. The car has a lower speed, which means it will take more time to cover the distance between the two cities. [/] Option 1: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option 2: car. The"
117, Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher speed. [/] Option 2: car. The car will take less time to cover the distance because it has a higher
118," Option 2: the female. The female robin stopped to rest after 2 hours and 38 minutes, which is less than the male robin, who stopped after 4 hours. Therefore, the female robin covered more distance."
119," Option 1: green window. The green window is less powerful than the blue window, as it needs more punches to break. "
120," Option 1: tracks. The train generated more heat on the tracks because the tracks have more friction than the pavement, which means the train has to work harder to move on the tracks, resulting in more heat generated. "
121," Option 2: the female. The female robin stopped to rest for another 3 minutes, which means it covered more distance than the male robin, which stopped after 5 minutes. Therefore, the female robin covered more distance."
122," Option 1: more. As the coaster moves over the coffee table at a higher speed, it will experience more friction and heat up more than when it moves over the dining table at a lower speed."
123," Option 1: slower. The lamborghini weighs less than the class 6 medium truck, so it will accelerate faster. "
124," Option 2: tree. The tree offers more resistance because it has more friction than the web, which means the spider has to work harder to move around on it."
125, Option 1: tracks. The train generated more heat on the tracks because it had to push through more resistance. 
126," Option 1: shorter. The bowling ball will generate less heat in the green alley, which means it will have less energy and will travel a shorter distance."
127, Option 1: less friction 
128," Option 1: beetle. The beetle is closer to Jimbo, so it will seem bigger to him. "
129," Option 1: watermelon. The watermelon is farther away from Harry, so it appears smaller than the apple. "
130," Option 1: less. The participant with a weight of 38 pounds has a greater mass than the participant with a weight of 12 kg, so they are less strong. [INST] Answer this question given two options: The participant whose weight was 38 pound was _____ strong than the participant who had weight of 12 kg?  Option 1: more. Option 2: less "
131," Option 1: gravel. The gravel road has more roughness, which means it has more bumps and irregularities, making it less smooth. "
132," Option 2: Maria. Since Maria's cruise is 15 hours long, she will have traveled a shorter distance than Tina, who traveled for 24 hours. Therefore, Maria went further."
133," Option 1: beetle. The beetle is closer to Jimbo, so it will seem bigger to him. "
134," Option 2: floor. The sales counter had a greater distance to cover, indicating that it was less smooth. "
135," Option 1: beetle. The beetle is closer to Jimbo, so it will seem bigger to him. "
136, Option 1: more friction 
137," Option 1: Tortoise. The tortoise has a slower speed than the hare, so it will take longer to get home. "
138," Option 1: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option 2: car. The car has a lower speed, which means it will take more time to cover the distance between the two cities. [/] Option [1]: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option [2]: car. The car has a lower speed, which means it will take more time to cover the distance between the two cities. [/] Option 1: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option 2: car. The car has a lower speed, which means it will take more time to cover the distance between the two cities. [/] Option 1: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option 2: car. The car has a lower speed, which means it will take more time to cover the distance between the two cities. [/] Option 1: bullet train. The bullet train has a higher speed, which means it will take less time to cover the distance between the two cities. [/] Option 2: car. The"
139," Option 2: The sports car would. The sports car has a smaller size, which means it has less weight and less inertia, making it more agile and able to accelerate more quickly than the larger and heavier tractor trailer."
140," Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than"
141," Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less friction, which means it will roll faster and experience less heating. [/] Option 2: flat ground. The cherry will heat up less on the flat ground because it has more friction, which means it will roll slower and experience less heating. [/] Option 1: slope. The cherry will heat up less on the slope because it has less"
142," Option 1: more. When the coaster moves at a slower speed over the coffee table, it will take longer to heat up, so it will heat up more over the coffee table."
143," Option 1: watermelon. The watermelon is farther away from Harry, so it appears larger. "
144, Option 2: more resistance 
145," Option 2: matte table. The matte table will make the bottom of the bag stay cooler because it has a rougher surface, which will cause the bag to heat up less than the shiny table. "
146, Option 1: softball. 
147," Option 1: more. When the coaster slides over the coffee table, it will heat up more because it has a lower speed, which means it will lose more energy. "
148," Option 2: Leon. The bigger gravity pull is on the person with more mass, which is Leon. "
149," Option 2: Leon. The bigger gravity pull is on Leon because he has a higher mass, which means he has a stronger gravitational pull."
150, Option 1: more friction 
151," Option 2: pavement. The train generated more heat on the pavement because it has a lower friction coefficient, which means it has less resistance to movement. "
152," Option 1: Street light that is 2 mile away. As the distance from the light source increases, the light appears dimmer. Therefore, the street light that is 2 miles away will appear brighter than the one that is 1 mile away. Option 2: Street light that is a mile away is incorrect because the light will appear dimmer as the distance from the light source increases, and the street light that is 1 mile away is closer to John than the one that is 2 miles away. "
153," Option 2: swept yard. The swept yard has a smoother surface, which means the dog can run faster in that area. The rocky yard has a rougher surface, which means the dog will have to work harder to move around, and will therefore run slower."
154," Option 2: matte table. The matte table has a lower friction coefficient, which means that the lunch bag will have less resistance when sliding across it. This means that the bottom of the bag will stay cooler on the matte table. "
155, Option 1: softball. 
156," Option 2: new tracks. The trolley can go a greater distance on the new tracks because it has a lower friction force, which means it will have less resistance and can move faster."
157," Option 2: thin. A thinner frame would be able to hold less weight, so it would not be able to hold the 120 kg weight. "
158," Option 2: tree. The tree offers more resistance because it has more friction than the web, which means the spider has to work harder to move around on it."
159, Option 2: tree. The web offers less resistance to the spider's movement because it is smoother and has less friction than the tree.
160," Option 1: bushes. The butterfly creates less heat flying through the bushes because it has to move through a denser medium, which creates more resistance and thus more heat. "
161," Option 2: the female. The female robin stopped to rest after 24 mins, which means it covered more distance than the male robin, which stopped after 13 mins. Therefore, the female robin covered more distance."
